S/N,ACTIVITY_START_DATE,DATASET_NAME,SITE,TREATMENT,ACTIVITY_MEDIA_NAME,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
198,2016-07-20,Chemistry,Site4,fertilized,Lake Water,21.58,86.00,7.00,408.50,0.13,0.47,1.31,0.02,0.13,0.11,0.85,903.00,6.50,395.50,0.81,15.00,46.72,57.50,13.00,6.35,1.55,1.00,1988.40,0.75,0.00
199,2016-07-25,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,130.00,18.00,757.00,0.08,0.96,5.29,0.00,0.08,0.77,0.48,2420.00,12.00,40.00,1.08,26.00,22.55,287.00,4.00,5.70,3.92,4.00,250.40,4.54,0.08
200,2016-07-25,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,10.00,618.00,0.07,0.47,3.77,0.00,0.09,0.53,0.24,2967.00,2.00,32.00,0.68,35.00,22.55,375.00,3.00,4.14,1.35,4.00,285.70,4.54,0.01
201,2016-07-25,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,10.00,10.00,641.00,0.04,0.51,5.14,0.00,0.06,0.49,0.84,2227.00,2.00,22.00,0.81,21.00,22.55,320.00,3.00,4.72,1.74,3.00,202.30,4.54,0.02
202,2016-07-25,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,156.00,3.00,270.00,0.37,0.72,2.08,0.00,0.28,0.00,1.76,697.00,0.00,77.00,0.98,24.00,22.55,148.00,3.00,7.02,2.56,1.00,647.50,4.54,0.01
203,2016-07-26,Chemistry,Site2,none (reference/control),Lake Water,1.21,162.00,2.00,199.00,0.35,0.60,0.49,0.00,0.18,0.00,1.38,362.00,2.00,62.00,0.66,23.00,22.55,185.00,3.00,7.25,2.60,0.00,528.00,5.25,0.01
204,2016-07-27,Chemistry,Site3,none (reference/control),Lake Water,1.72,229.00,2.50,277.00,0.31,0.74,0.56,0.00,0.17,0.02,1.16,618.50,1.00,57.50,0.62,18.00,22.55,124.50,4.00,6.86,1.75,0.00,453.00,4.54,0.01
205,2016-08-02,Chemistry,Site1,none (reference/control),Lake Water,2.84,150.00,3.00,257.00,0.35,0.73,2.15,0.00,0.24,0.00,1.75,714.00,0.00,75.00,1.00,23.00,22.55,157.00,5.00,7.02,2.58,1.00,551.50,3.25,0.01
206,2016-08-02,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,126.00,18.00,864.00,0.12,0.95,5.65,0.00,3.63,0.65,0.52,2349.00,12.00,34.00,1.28,26.00,22.55,330.00,4.00,5.62,3.88,4.00,318.00,4.54,0.11
207,2016-08-02,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,13.00,707.00,0.06,0.54,3.97,0.00,2.73,0.58,0.17,3373.00,1.00,25.00,0.75,39.00,22.55,429.00,4.00,3.99,1.52,5.00,437.80,4.54,0.01
208,2016-08-02,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,15.00,16.00,817.00,0.06,0.56,6.15,0.02,0.13,0.71,0.44,3272.00,3.00,29.00,0.92,24.00,22.55,372.00,4.00,4.59,1.93,4.00,410.30,4.54,0.01
209,2016-08-02,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,150.00,3.00,267.00,0.34,0.72,2.11,0.00,0.20,0.02,1.76,715.00,2.00,63.00,0.99,24.00,22.55,157.00,4.00,6.97,2.56,1.00,643.50,4.54,0.01
210,2016-08-03,Chemistry,Site4,fertilized,Lake Water,11.53,71.00,7.00,377.00,0.10,0.45,1.31,0.00,0.13,0.07,0.74,992.00,0.00,223.00,0.78,14.00,46.72,75.00,16.00,6.33,1.42,1.00,1474.50,1.50,0.00
211,2016-08-04,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.15,0.71,3.43,0.03,0.14,0.76,0.22,3571.25,10.80,52.89,1.08,27.37,22.55,249.50,4.26,4.34,2.05,1.75,550.26,4.54,0.01
212,2016-08-04,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.05,0.65,3.43,0.02,0.11,0.60,0.63,2371.00,10.80,52.89,1.14,27.37,22.55,249.50,4.26,5.04,2.75,1.75,550.26,4.54,0.01
213,2016-08-05,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.30,0.76,3.43,0.00,0.22,0.42,1.31,1510.80,10.80,52.89,1.03,27.37,22.55,249.50,4.26,4.21,2.55,1.75,550.26,4.54,0.00
214,2016-08-05,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.01,0.54,3.43,0.02,0.09,0.57,0.66,2338.00,10.80,52.89,1.09,27.37,22.55,249.50,4.26,5.07,2.51,1.75,550.26,4.54,0.01
215,2016-08-08,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,230.00,26.00,918.00,0.23,1.34,6.81,0.00,0.14,1.26,0.41,2512.00,32.00,29.00,1.63,34.00,22.55,289.00,3.00,6.29,5.44,1.00,480.40,4.54,0.01
216,2016-08-08,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,18.00,838.00,0.11,0.59,5.03,0.00,0.10,0.89,0.12,3400.00,6.00,20.00,0.90,37.00,22.55,381.00,2.00,4.20,1.71,1.00,268.50,4.54,0.00
217,2016-08-08,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,25.00,21.00,734.00,0.03,0.51,5.84,0.00,0.09,0.62,0.55,2104.00,4.00,20.00,0.93,20.00,22.55,463.00,3.00,4.84,1.96,0.00,221.80,4.54,0.00
218,2016-08-08,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,151.00,3.00,309.00,0.41,0.76,2.18,0.00,0.25,0.02,1.89,762.00,3.00,63.00,1.12,24.00,22.55,155.00,3.00,7.04,2.75,1.00,672.00,4.54,0.01
219,2016-08-09,Chemistry,Site2,none (reference/control),Lake Water,1.54,168.00,3.50,188.50,0.36,0.61,0.43,0.00,0.19,0.00,1.45,371.00,1.00,47.00,0.73,23.00,22.55,192.50,5.50,7.31,2.71,0.00,571.25,4.00,0.01
220,2016-08-10,Chemistry,Site3,none (reference/control),Lake Water,1.90,109.00,2.00,283.00,0.32,0.74,0.54,0.00,0.16,0.00,1.07,596.00,2.00,43.00,0.64,18.00,22.55,124.00,2.00,6.97,1.80,0.00,440.60,4.54,0.01
221,2016-08-11,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.09,0.67,3.43,0.02,3.28,0.78,0.16,3577.00,10.80,52.89,1.07,27.37,22.55,249.50,4.26,4.39,1.95,1.75,550.26,4.54,0.00
222,2016-08-11,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.04,0.58,3.43,0.02,2.13,0.60,0.58,2224.33,10.80,52.89,1.13,27.37,22.55,249.50,4.26,5.45,2.70,1.75,550.26,4.54,0.00
223,2016-08-15,Chemistry,Site1,none (reference/control),Lake Water,3.44,150.00,2.00,299.00,0.36,0.76,2.19,0.00,0.20,0.00,1.66,720.00,1.00,48.00,1.07,24.00,22.55,162.00,6.00,7.05,2.75,1.75,525.00,3.25,0.01
224,2016-08-15,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,641.00,30.00,942.00,0.49,1.56,7.65,0.00,0.52,1.22,0.43,2247.00,43.50,41.00,2.17,41.00,22.55,411.00,7.50,6.52,6.25,1.00,708.25,4.54,0.00
225,2016-08-15,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,25.00,880.00,0.15,0.68,5.70,0.00,0.10,1.09,0.11,3883.00,5.00,17.00,0.94,35.00,22.55,318.00,4.00,4.26,2.04,1.00,326.90,4.54,0.00
226,2016-08-15,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,42.00,31.00,897.00,0.07,0.54,6.24,0.00,0.12,0.88,0.36,2378.00,5.00,0.00,0.96,21.00,22.55,484.00,4.00,4.93,2.10,1.75,277.60,4.54,0.00
227,2016-08-15,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,154.00,3.00,292.00,0.39,0.76,3.43,0.00,0.23,0.00,1.71,753.00,10.80,45.00,1.11,24.00,22.55,152.00,5.00,7.17,2.73,1.00,523.00,4.54,0.01
228,2016-08-17,Chemistry,Site4,fertilized,Lake Water,17.71,162.00,7.50,360.00,0.11,0.46,1.09,0.00,0.13,0.06,0.69,988.00,1.00,241.50,0.85,14.00,46.72,28.50,21.50,6.84,1.50,3.00,2152.00,1.25,0.00
229,2016-08-22,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,292.00,26.00,908.00,0.22,1.48,7.51,0.00,0.19,1.17,0.39,2460.00,30.00,118.00,1.79,39.00,22.55,385.00,8.00,6.45,6.07,4.00,1362.00,4.54,0.01
230,2016-08-22,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,27.00,995.00,0.17,0.72,5.29,0.00,0.10,1.12,0.09,4227.00,10.80,45.00,0.91,39.00,22.55,382.00,4.00,4.18,2.15,8.00,516.00,4.54,0.00
231,2016-08-22,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,45.00,36.00,1017.00,0.09,0.53,6.08,0.00,0.16,0.81,0.32,2417.00,3.00,39.00,0.93,21.00,22.55,374.00,4.00,4.87,2.03,6.00,453.60,4.54,0.00
232,2016-08-22,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,153.00,3.00,279.00,0.35,0.74,2.15,0.00,0.20,0.00,1.70,746.00,1.00,68.00,1.04,24.00,22.55,158.00,4.00,7.06,2.72,1.00,702.50,4.54,0.01
233,2016-08-23,Chemistry,Site2,none (reference/control),Lake Water,1.10,164.00,2.00,199.00,0.36,0.60,0.37,0.00,0.17,0.00,1.33,435.00,10.80,54.00,0.71,22.00,22.55,190.00,4.00,7.24,2.65,1.00,505.00,4.50,0.01
234,2016-08-24,Chemistry,Site3,none (reference/control),Lake Water,2.10,229.00,2.00,228.50,0.31,0.75,0.53,0.00,0.16,0.02,1.14,615.00,1.00,53.50,0.64,18.00,22.55,125.50,3.50,6.94,1.82,1.75,579.55,4.54,0.01
235,2016-08-29,Chemistry,Site1,none (reference/control),Lake Water,1.85,153.00,3.00,289.00,0.43,0.76,2.14,0.00,0.28,0.00,1.80,719.00,0.00,65.00,1.12,25.00,22.55,167.00,5.00,7.04,2.71,1.00,604.00,2.75,0.01
236,2016-08-29,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,291.00,27.00,862.00,0.31,1.44,7.48,0.00,0.14,1.06,0.52,2211.00,40.00,36.00,1.89,39.00,22.55,407.00,5.00,6.46,5.83,4.00,694.40,4.54,0.01
237,2016-08-29,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,31.00,1010.00,0.19,0.80,4.16,0.00,0.12,1.15,0.13,4684.00,0.00,80.00,0.92,43.00,22.55,441.00,7.00,4.12,2.34,8.00,838.70,4.54,0.00
238,2016-08-29,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,19.00,73.00,1310.00,0.07,0.63,6.38,0.00,0.17,1.15,0.30,3444.00,0.00,82.00,1.01,25.00,22.55,467.00,5.00,4.66,2.45,11.00,860.50,4.54,0.00
239,2016-08-29,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,158.00,2.00,271.00,0.37,0.73,2.11,0.00,0.11,0.02,0.34,754.00,0.00,81.00,1.05,24.00,22.55,160.00,4.00,7.12,2.68,1.00,684.40,4.54,0.01
240,2016-08-31,Chemistry,Site4,fertilized,Lake Water,35.08,86.00,9.00,348.00,0.12,0.44,0.90,0.00,0.23,0.08,0.41,861.00,0.00,436.00,0.84,14.00,46.72,57.00,27.00,6.69,1.46,1.00,2538.00,1.00,0.00
241,2016-09-01,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.22,1.47,3.43,0.01,0.15,1.07,0.52,1945.86,10.80,52.89,2.12,27.37,22.55,249.50,4.26,6.96,6.52,1.75,550.26,4.54,0.00
242,2016-09-01,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.32,0.93,3.43,0.03,0.19,1.08,0.19,3293.40,10.80,52.89,1.18,27.37,22.55,249.50,4.26,4.46,2.86,1.75,550.26,4.54,0.00
243,2016-09-01,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.06,0.64,3.43,0.03,0.18,0.92,0.41,2085.33,10.80,52.89,1.19,27.37,22.55,249.50,4.26,5.17,2.66,1.75,550.26,4.54,0.00
244,2016-09-06,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,182.00,25.00,971.00,0.27,1.19,6.80,0.00,0.18,1.12,0.55,2735.00,0.00,98.00,1.62,32.00,22.55,309.00,14.00,6.01,4.90,4.00,1276.00,4.54,0.04
245,2016-09-06,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,24.00,923.00,0.27,0.79,4.22,0.00,0.13,1.02,0.20,4572.00,2.00,45.00,0.86,48.00,22.55,452.00,6.00,4.10,2.25,7.00,569.50,4.54,0.01
246,2016-09-06,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.00,42.00,1067.00,0.09,0.71,6.29,0.00,0.32,1.09,0.36,3409.00,14.00,44.00,1.08,28.00,22.55,504.00,6.00,4.71,2.82,8.00,442.30,4.54,0.00
247,2016-09-06,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,158.00,2.00,261.00,0.37,0.73,2.05,0.00,0.21,0.00,1.81,744.00,0.00,58.00,1.05,25.00,22.55,163.00,5.00,7.08,2.64,1.00,513.50,4.54,0.01
248,2016-09-07,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.31,1.37,3.43,0.00,0.21,0.88,0.59,2594.00,10.80,52.89,1.96,27.37,22.55,249.50,4.26,6.60,5.86,1.75,550.26,4.54,0.02
249,2016-09-07,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.26,0.98,3.43,0.02,0.16,1.07,0.18,4780.25,10.80,52.89,1.20,27.37,22.55,249.50,4.26,4.25,3.16,1.75,550.26,4.54,0.00
250,2016-09-07,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.11,0.76,3.43,0.03,0.25,1.02,0.42,2953.25,10.80,52.89,1.48,27.37,22.55,249.50,4.26,5.00,2.98,1.75,550.26,4.54,0.00
251,2016-09-07,Chemistry,Site2,none (reference/control),Lake Water,1.46,338.00,2.50,189.50,0.39,0.58,0.36,0.00,0.21,0.00,1.47,349.00,1.00,35.00,1.08,23.00,22.55,193.00,5.00,7.28,2.60,0.00,439.20,5.75,0.01
252,2016-09-08,Chemistry,Site3,none (reference/control),Lake Water,2.59,116.00,3.00,255.00,0.31,0.69,1.41,0.00,0.16,0.02,1.13,605.00,1.00,43.00,0.61,18.00,22.55,121.00,4.00,7.04,1.68,0.00,455.30,4.54,0.01
253,2016-09-12,Chemistry,Site1,none (reference/control),Lake Water,3.09,157.00,3.00,260.00,0.34,0.78,2.29,0.00,0.25,0.02,2.35,727.00,0.00,62.00,1.10,25.00,22.55,176.00,5.00,6.92,2.86,0.00,453.40,2.75,0.01
254,2016-09-12,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,558.00,24.50,893.50,0.32,1.59,7.62,0.00,0.14,1.39,0.38,2640.00,12.50,41.50,1.97,36.50,22.55,381.50,6.00,6.38,6.26,4.00,655.75,4.54,0.01
255,2016-09-12,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,32.00,1037.00,0.25,0.83,4.99,0.00,0.12,1.33,0.10,4427.00,0.00,45.00,0.95,38.00,22.55,407.00,6.00,4.22,2.49,9.00,509.50,4.54,0.00
256,2016-09-12,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,24.00,35.00,969.00,0.02,0.57,6.49,0.00,0.14,0.95,0.43,2542.00,4.00,20.00,1.02,21.00,22.55,418.00,4.00,4.79,2.21,6.00,362.20,4.54,0.00
257,2016-09-12,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,155.00,2.00,272.00,0.35,0.78,2.22,0.00,0.20,0.02,1.82,728.00,2.00,54.00,1.12,24.00,22.55,164.00,4.00,7.16,2.86,0.00,420.00,4.54,0.01
258,2016-09-14,Chemistry,Site4,fertilized,Lake Water,36.15,97.00,8.00,333.00,0.08,0.48,0.89,0.00,0.16,0.06,0.78,779.00,27.88,357.00,0.89,14.00,46.72,96.00,24.00,6.37,1.58,1.31,2390.00,0.75,0.00
259,2016-09-19,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,296.00,27.00,926.00,0.52,1.64,7.56,0.00,0.23,1.28,0.56,2454.00,1.00,62.00,2.13,37.00,22.55,408.00,6.00,6.46,6.27,9.00,770.50,4.54,0.01
260,2016-09-19,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,41.00,1096.00,0.30,0.89,5.49,0.02,0.23,1.45,0.08,4708.00,0.00,46.00,0.99,39.00,22.55,427.00,4.00,4.15,2.66,14.00,651.00,4.54,0.00
261,2016-09-19,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,30.00,54.00,1072.00,0.05,0.58,6.31,0.00,0.23,1.02,0.30,2830.00,0.00,44.00,1.06,20.00,22.55,384.00,5.00,4.85,2.21,13.00,584.50,4.54,0.00
262,2016-09-19,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,159.00,4.00,262.00,0.34,0.78,2.08,0.00,0.24,0.00,1.87,692.00,3.00,50.00,1.12,23.00,22.55,170.00,5.00,7.04,2.84,0.00,534.00,4.54,0.01
263,2016-09-20,Chemistry,Site2,none (reference/control),Lake Water,1.29,166.00,3.00,199.00,0.35,0.63,0.30,0.00,0.85,0.00,1.51,338.00,3.00,38.00,0.76,22.00,22.55,201.00,3.00,7.26,2.82,0.00,417.50,5.25,0.01
264,2016-09-21,Chemistry,Site3,none (reference/control),Lake Water,3.04,121.00,3.50,260.00,0.34,0.81,0.50,0.00,5.16,0.04,1.22,574.00,2.00,48.00,0.71,18.00,22.55,163.50,3.00,6.94,1.98,0.00,492.60,4.54,0.01
265,2016-09-26,Chemistry,Site1,none (reference/control),Lake Water,3.47,160.00,3.00,282.00,0.44,0.88,2.28,0.00,0.25,0.09,1.89,677.00,0.00,43.00,1.22,25.00,22.55,188.00,3.00,6.83,3.13,0.00,438.20,2.75,0.01
266,2016-09-26,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,156.00,23.00,957.00,0.44,1.20,7.03,0.00,0.33,1.09,0.63,2682.00,47.00,45.00,1.68,30.00,22.55,298.00,6.00,5.79,4.63,5.00,519.50,4.54,0.06
267,2016-09-26,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,23.00,1095.00,0.37,0.91,4.05,0.00,0.53,1.08,0.22,4710.00,0.00,55.00,0.89,48.00,22.55,415.00,5.00,4.02,2.57,8.00,754.50,4.54,0.01
268,2016-09-26,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,23.00,35.00,1044.00,0.06,0.70,5.76,0.00,0.30,1.01,0.41,3108.00,0.00,56.00,1.12,26.00,22.55,360.00,5.00,4.62,2.63,7.00,556.00,4.54,0.01
269,2016-09-26,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,159.00,3.00,274.00,0.38,0.80,2.14,0.00,0.22,0.00,1.70,679.00,6.00,58.00,1.14,25.00,22.55,174.00,5.00,6.97,2.89,0.00,535.50,4.54,0.01
270,2016-09-28,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.39,9.32,471.52,0.45,1.20,3.43,0.00,0.35,0.95,0.64,2682.50,10.80,52.89,1.77,27.37,22.55,249.50,4.26,6.35,4.68,1.75,550.26,4.54,0.06
271,2016-09-28,Chemistry,Site4,fertilized,Lake Water,9.18,76.00,9.00,361.00,0.10,0.49,0.97,0.02,0.17,0.06,0.67,793.00,0.00,406.00,0.91,15.00,46.72,108.00,33.00,6.14,1.43,0.00,2845.00,0.75,0.00
272,2016-10-03,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,370.00,22.00,815.00,0.28,1.26,7.30,0.02,0.21,63.63,0.44,2568.00,9.50,93.50,1.73,31.00,22.55,284.50,7.50,6.18,4.93,4.00,1136.00,4.54,0.01
273,2016-10-03,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,32.00,1008.00,0.33,0.81,4.67,0.00,0.16,1.22,0.08,4261.00,0.00,218.00,0.89,42.00,22.55,425.00,10.00,4.14,2.30,9.00,3977.00,4.54,0.00
274,2016-10-03,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,17.00,24.00,769.00,0.02,0.54,5.59,0.00,0.21,0.67,0.89,2051.00,2.00,27.00,0.96,21.00,22.55,362.00,4.00,4.85,2.01,4.00,365.80,4.54,0.01
275,2016-10-03,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,154.00,4.00,260.00,0.38,0.81,2.18,0.00,0.23,0.03,1.74,700.00,8.00,109.00,1.16,25.00,22.55,178.00,9.00,6.96,2.92,0.00,1158.00,4.54,0.01
276,2016-10-04,Chemistry,Site2,none (reference/control),Lake Water,1.24,332.00,2.00,193.50,0.38,0.66,0.28,0.00,0.22,0.00,1.36,340.00,0.00,42.50,0.80,23.00,22.55,203.00,3.50,7.14,2.92,0.00,409.20,5.75,0.01
277,2016-10-05,Chemistry,Site3,none (reference/control),Lake Water,2.80,117.20,3.00,213.00,0.33,0.81,0.51,0.00,0.15,0.02,1.09,593.00,0.00,58.00,0.72,19.00,22.55,140.00,5.00,6.83,1.97,0.00,509.50,4.54,0.01
278,2016-10-17,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,412.00,24.00,734.50,0.37,1.26,4.74,0.02,0.43,1.06,0.61,2071.00,48.50,40.00,1.96,31.50,22.55,295.50,4.00,6.32,4.78,3.50,331.95,4.54,0.01
279,2016-10-17,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,43.00,1050.00,0.37,0.82,5.10,0.00,0.19,1.30,0.08,4369.00,0.00,64.00,0.92,40.00,22.55,370.00,5.00,4.17,2.39,11.00,728.00,4.54,0.00
280,2016-10-17,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.40,36.00,781.00,0.02,0.50,6.24,0.00,0.23,0.73,0.75,1984.00,16.00,32.00,1.06,19.00,22.55,346.00,4.00,4.93,1.85,5.00,365.00,4.54,0.00
281,2016-10-17,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,157.60,4.00,255.00,0.42,0.82,7.25,0.00,0.34,0.02,1.67,667.00,3.00,79.00,1.19,25.00,22.55,199.00,5.00,6.84,2.99,0.00,727.00,4.54,0.01
282,2016-10-24,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,465.60,21.50,723.00,0.27,1.25,7.23,0.00,0.21,0.96,0.65,1936.50,29.00,44.00,1.94,31.50,22.55,326.50,4.50,6.40,4.68,2.50,420.50,4.54,0.01
283,2016-10-24,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,47.00,1164.00,0.37,0.81,3.43,0.00,0.24,1.26,0.10,4418.00,0.00,67.00,0.92,36.00,22.55,352.00,5.00,4.21,2.44,9.00,752.50,4.54,0.00
284,2016-10-24,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,27.60,43.00,927.00,0.04,0.48,6.21,0.00,0.24,0.71,0.69,2047.00,29.00,36.00,1.04,18.00,22.55,417.00,4.00,4.88,1.78,5.00,426.90,4.54,0.00
285,2016-10-24,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,168.00,3.00,275.00,0.39,0.82,2.17,0.00,0.24,0.02,1.88,655.00,5.00,80.00,1.17,30.00,22.55,202.00,5.00,6.81,2.99,0.00,756.50,4.54,0.01
286,2016-10-31,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,231.00,23.00,684.00,0.32,1.23,7.81,0.00,0.26,0.92,0.76,1765.00,50.00,39.00,1.99,32.00,22.55,326.00,4.00,6.44,4.60,3.00,351.30,4.54,0.01
287,2016-10-31,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,46.00,1237.00,0.46,0.84,5.92,0.00,0.18,1.38,0.10,4352.00,0.00,68.00,0.97,37.00,22.55,355.00,6.00,4.22,2.46,10.00,840.50,4.54,0.00
288,2016-10-31,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,31.80,49.00,944.00,0.07,0.49,6.87,0.00,0.22,0.76,0.65,2129.00,39.00,52.00,1.08,19.00,22.55,459.00,4.00,4.90,1.83,7.00,554.00,4.54,0.00
289,2016-10-31,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,164.20,3.00,228.00,0.41,0.84,2.35,0.00,0.22,0.03,1.79,634.00,15.00,65.00,1.18,26.00,22.55,223.00,4.00,6.75,3.07,0.00,541.50,4.54,0.01
290,2016-11-07,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,190.60,23.00,724.00,0.29,1.15,7.41,0.00,0.25,0.97,0.75,1963.00,45.00,43.00,1.90,30.00,22.55,281.00,5.00,6.32,4.39,5.00,387.70,4.54,0.01
291,2016-11-07,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,42.00,1128.50,0.41,0.80,5.50,0.01,0.18,1.21,0.11,4352.50,0.00,61.50,0.93,38.00,22.55,359.50,11.50,4.23,2.36,10.50,906.75,4.54,0.00
292,2016-11-07,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,24.00,35.00,830.00,0.07,0.48,6.04,0.00,0.23,0.68,0.91,1958.00,40.00,28.00,1.09,19.00,22.55,360.00,5.00,4.94,1.77,0.00,354.80,4.54,0.00
293,2016-11-07,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,167.60,3.00,249.00,0.40,0.83,2.33,0.00,0.23,0.03,1.90,644.00,11.00,66.00,1.18,26.00,22.55,223.00,7.00,6.71,3.02,1.00,570.00,4.54,0.01
294,2016-11-07,Chemistry,Site2,none (reference/control),Lake Water,2.21,174.20,3.00,171.00,0.39,0.66,0.43,0.00,0.19,0.07,1.44,380.00,4.00,42.00,0.78,23.00,22.55,226.00,5.00,6.98,2.94,0.00,416.00,4.00,0.01
295,2016-11-07,Chemistry,Site4,fertilized,Lake Water,18.58,61.40,7.00,543.00,0.22,0.55,1.08,0.03,0.25,0.07,0.90,734.00,92.00,338.00,1.00,16.00,46.72,234.00,28.00,6.15,1.84,2.00,2523.00,0.75,0.00
